Bei Erziehungsproblemen können Eltern in Deutschland Hilfe erhalten vom ...,Ordnungsamt.,Schulamt.,Jugendamt.,Gesundheitsamt.,Mann und Frau führen mindestens ein Jahr getrennt ihr eigenes Leben. Danach ist die Scheidung möglich.
Ein Ehepaar möchte in Deutschland ein Restaurant eröffnen. Was braucht es dazu unbedingt?,eine Erlaubnis der Polizei,eine Genehmigung einer Partei,eine Genehmigung des Einwohnermeldeamts,eine Gaststättenerlaubnis von der zuständigen Behörde,Jugendamt.
Eine erwachsene Frau möchte in Deutschland das Abitur nachholen. Das kann sie an ...,einer Hochschule.,einem Abendgymnasium.,einer Hauptschule.,einer Privatuniversität.,eine Gaststättenerlaubnis von der zuständigen Behörde
Was darf das Jugendamt in Deutschland?,"Es entscheidet, welche Schule das Kind besucht.","Es kann ein Kind, das geschlagen wird oder hungern muss, aus der Familie nehmen.",Es bezahlt das Kindergeld an die Eltern.,"Es kontrolliert, ob das Kind einen Kindergarten besucht.",einem Abendgymnasium.
Das Berufsinformationszentrum BIZ bei der Bundesagentur für Arbeit in Deutschland hilft bei der ...,Rentenberechnung.,Lehrstellensuche.,Steuererklärung.,Krankenversicherung.,"Es kann ein Kind, das geschlagen wird oder hungern muss, aus der Familie nehmen."
In Deutschland hat ein Kind in der Schule ...,Recht auf unbegrenzte Freizeit.,Wahlfreiheit für alle Fächer.,Anspruch auf Schulgeld.,Anwesenheitspflicht.,Lehrstellensuche
Ein Mann möchte mit 30 Jahren in Deutschland sein Abitur nachholen. Wo kann er das tun? An ...,einer Hochschule.,einem Abendgymnasium.,einer Hauptschule.,einer Privatuniversität.,Anwesenheitspflicht.
Was bedeutet in Deutschland der Grundsatz der Gleichbehandlung?,Niemand darf z.B. wegen einer Behinderung benachteiligt werden.,"Man darf andere Personen benachteiligen, wenn ausreichende persönliche Gründe hierfür vorliegen.","Niemand darf gegen Personen klagen, wenn sie benachteiligt wurden.","Es ist für alle Gesetz, benachteiligten Gruppen jährlich Geld zu spenden.",einem Abendgymnasium.
"In Deutschland sind Jugendliche ab 14 Jahren strafmündig. Das bedeutet: Jugendliche, die 14 Jahre und älter sind und gegen Strafgesetze verstoßen, ...",werden bestraft.,werden wie Erwachsene behandelt.,teilen die Strafe mit ihren Eltern.,werden nicht bestraft.,Niemand darf z.B. wegen einer Behinderung benachteiligt werden.
Zu welchem Fest tragen Menschen in Deutschland bunte Kostüme und Masken?,am Rosenmontag,am Maifeiertag,beim Oktoberfest,an Pfingsten,werden bestraft.
"Wohin muss man in Deutschland zuerst gehen, wenn man heiraten möchte?",zum Einwohnermeldeamt,zum Ordnungsamt,zur Agentur für Arbeit,zum Standesamt,am Rosenmontag
Wann beginnt die gesetzliche Nachtruhe in Deutschland?,wenn die Sonne untergeht,wenn die Nachbarn schlafen gehen,"um 0 Uhr, Mitternacht",um 22 Uhr,zum Standesamt
"Eine junge Frau in Deutschland, 22 Jahre alt, lebt mit ihrem Freund zusammen. Die Eltern der Frau finden das nicht gut, weil ihnen der Freund nicht gefällt. Was können die Eltern tun?",Sie müssen die Entscheidung der volljährigen Tochter respektieren.,"Sie haben das Recht, die Tochter in die elterliche Wohnung zurückzuholen.",Sie können zur Polizei gehen und die Tochter anzeigen.,Sie suchen einen anderen Mann für die Tochter.,um 22 Uhr
"Eine junge Frau will den Führerschein machen. Sie hat Angst vor der Prüfung, weil ihre Muttersprache nicht Deutsch ist. Was ist richtig?","Sie muss mindestens zehn Jahre in Deutschland leben, bevor sie den Führerschein machen kann.","Wenn sie kein Deutsch kann, darf sie keinen Führerschein haben.","Sie muss den Führerschein in dem Land machen, in dem man ihre Sprache spricht.",Sie kann die Theorie-Prüfung vielleicht in ihrer Muttersprache machen. Es gibt mehr als zehn Sprachen zur Auswahl.,Sie müssen die Entscheidung der volljährigen Tochter respektieren.
In Deutschland haben Kinder ab dem Alter von drei Jahren bis zur Ersteinschulung einen Anspruch auf ...,monatliches Taschengeld.,einen Platz in einem Sportverein.,einen Kindergartenplatz.,einen Ferienpass.,Sie kann die Theorie-Prüfung vielleicht in ihrer Muttersprache machen. Es gibt mehr als zehn Sprachen zur Auswahl.
Die Volkshochschule in Deutschland ist eine Einrichtung ...,für den Religionsunterricht.,nur für Jugendliche.,zur Weiterbildung.,nur für Rentnerinnen und Rentner.,einen Kindergartenplatz.
Was ist in Deutschland ein Brauch zu Weihnachten?,bunte Eier verstecken,einen Tannenbaum schmücken,sich mit Masken und Kostümen verkleiden,Kürbisse vor die Tür stellen,zur Weiterbildung.
Welche Lebensform ist in Deutschland nicht erlaubt?,Mann und Frau sind geschieden und leben mit neuen Partnern zusammen.,Zwei Frauen leben zusammen.,Ein alleinerziehender Vater lebt mit seinen zwei Kindern zusammen.,Ein Mann ist mit zwei Frauen zur selben Zeit verheiratet.,einen Tannenbaum schmücken
Bei Erziehungsproblemen gehen Sie in Deutschland ...,zur Ärztin/zum Arzt.,zum Gesundheitsamt.,zum Einwohnermeldeamt.,zum Jugendamt.,Ein Mann ist mit zwei Frauen zur selben Zeit verheiratet.
"Sie haben in Deutschland absichtlich einen Brief geöffnet, der an eine andere Person adressiert ist. Was haben Sie nicht beachtet?",das Schweigerecht,das Briefgeheimnis,die Schweigepflicht,die Meinungsfreiheit,zum Jugendamt.
Was braucht man in Deutschland für eine Ehescheidung?,die Einwilligung der Eltern,ein Attest einer Ärztin/eines Arztes,die Einwilligung der Kinder,die Unterstützung einer Anwältin/eines Anwalts,das Briefgeheimnis
"Was sollten Sie tun, wenn Sie von Ihrer Ansprechpartnerin/Ihrem Ansprechpartner in einer deutschen Behörde schlecht behandelt werden?",Ich kann nichts tun.,Ich muss mir diese Behandlung gefallen lassen.,Ich drohe der Person.,Ich kann mich bei der Behördenleiterin/beim Behördenleiter beschweren.,die Unterstützung einer Anwältin/eines Anwalts
"Eine Frau, die ein zweijähriges Kind hat, bewirbt sich in Deutschland um eine Stelle. Was ist ein Beispiel für Diskriminierung? Sie bekommt die Stelle nur deshalb nicht, weil sie ...",kein Englisch spricht.,zu hohe Gehaltsvorstellungen hat.,keine Erfahrungen in diesem Beruf hat.,Mutter ist.,Ich kann mich bei der Behördenleiterin/beim Behördenleiter beschweren.
"Ein Mann im Rollstuhl hat sich auf eine Stelle als Buchhalter beworben. Was ist ein Beispiel für Diskriminierung? Er bekommt die Stelle nur deshalb nicht, weil er ...",im Rollstuhl sitzt.,keine Erfahrung hat.,zu hohe Gehaltsvorstellungen hat.,kein Englisch spricht.,Mutter ist.
"In den meisten Mietshäusern in Deutschland gibt es eine ""Hausordnung"". Was steht in einer solchen ""Hausordnung""? Sie nennt ...",Regeln für die Benutzung öffentlicher Verkehrsmittel.,alle Mieterinnen und Mieter im Haus.,"Regeln, an die sich alle Bewohnerinnen und Bewohner halten müssen.",die Adresse des nächsten Ordnungsamtes.,im Rollstuhl sitzt.
"Wenn Sie sich in Deutschland gegen einen falschen Steuerbescheid wehren wollen, müssen Sie ...",nichts machen.,den Bescheid wegwerfen.,Einspruch einlegen.,"warten, bis ein anderer Bescheid kommt.","Regeln, an die sich alle Bewohnerinnen und Bewohner halten müssen."
Zwei Freunde wollen in ein öffentliches Schwimmbad in Deutschland. Beide haben eine dunkle Hautfarbe und werden deshalb nicht hineingelassen. Welches Recht wird in dieser Situation verletzt? Das Recht auf ...,Meinungsfreiheit,Gleichbehandlung,Versammlungsfreiheit,Freizügigkeit,Einspruch einlegen.
"Welches Ehrenamt müssen deutsche Staatsbürgerinnen und Staatsbürger übernehmen, wenn sie dazu aufgefordert werden?",Vereinstrainerin/Vereinstrainer,Wahlhelferin/Wahlhelfer,Bibliotheksaufsicht,Lehrerin/Lehrer,Gleichbehandlung
"Was tun Sie, wenn Sie eine falsche Rechnung von einer deutschen Behörde bekommen?",Ich lasse die Rechnung liegen.,Ich lege Widerspruch bei der Behörde ein.,Ich schicke die Rechnung an die Behörde zurück.,Ich gehe mit der Rechnung zum Finanzamt.,Wahlhelferin/Wahlhelfer
"Was man für die Arbeit können muss, ändert sich in Zukunft sehr schnell. Was kann man tun?","Es ist egal, was man lernt.",Erwachsene müssen auch nach der Ausbildung immer weiter lernen.,"Kinder lernen in der Schule alles, was im Beruf wichtig ist. Nach der Schule muss man nicht weiter lernen.","Alle müssen früher aufhören zu arbeiten, weil sich alles ändert.",Ich lege Widerspruch bei der Behörde ein.
Frau Frost arbeitet als fest angestellte Mitarbeiterin in einem Büro. Was muss sie nicht von ihrem Gehalt bezahlen?,Lohnsteuer,Beiträge zur Arbeitslosenversicherung,Beiträge zur Renten- und Krankenversicherung,Umsatzsteuer,Erwachsene müssen auch nach der Ausbildung immer weiter lernen.
Welche Organisation in einer Firma hilft den Arbeitnehmerinnen und Arbeitnehmern bei Problemen mit der Arbeitgeberin/dem Arbeitgeber?,der Betriebsrat,die Betriebsprüferin/der Betriebsprüfer,die Betriebsgruppe,das Betriebsmanagement,Umsatzsteuer
Sie möchten bei einer Firma in Deutschland ihr Arbeitsverhältnis beenden. Was müssen Sie beachten?,die Gehaltszahlungen,die Arbeitszeit,die Kündigungsfrist,die Versicherungspflicht,der Betriebsrat
Bei welchem Amt muss man in Deutschland in der Regel seinen Hund anmelden?,beim Finanzamt,beim Einwohnermeldeamt,bei der Kommune (Stadt oder Gemeinde),beim Gesundheitsamt,die Kündigungsfrist
"Ein Mann mit dunkler Hautfarbe bewirbt sich um eine Stelle als Kellner in einem Restaurant in Deutschland. Was ist ein Beispiel für Diskriminierung? Er bekommt die Stelle nur deshalb nicht, weil ...",seine Deutschkenntnisse zu gering sind.,er zu hohe Gehaltsvorstellungen hat.,er eine dunkle Haut hat.,er keine Erfahrungen im Beruf hat.,bei der Kommune (Stadt oder Gemeinde)
"Sie haben in Deutschland einen Fernseher gekauft. Zu Hause packen Sie den Fernseher aus, doch er funktioniert nicht. Der Fernseher ist kaputt. Was können Sie machen?",eine Anzeige schreiben,den Fernseher reklamieren,das Gerät ungefragt austauschen,die Garantie verlängern,er eine dunkle Haut hat.
"Warum muss man in Deutschland bei der Steuererklärung aufschreiben, ob man zu einer Kirche gehört oder nicht? Weil ...","es eine Kirchensteuer gibt, die an die Einkommen- und Lohnsteuer geknüpft ist.",das für die Statistik in Deutschland wichtig ist.,"man mehr Steuern zahlen muss, wenn man nicht zu einer Kirche gehört.",die Kirche für die Steuererklärung verantwortlich ist.,den Fernseher reklamieren
Die Menschen in Deutschland leben nach dem Grundsatz der religiösen Toleranz. Was bedeutet das?,Es dürfen keine Moscheen gebaut werden.,Alle Menschen glauben an Gott.,"Jeder kann glauben, was er möchte.","Der Staat entscheidet, an welchen Gott die Menschen glauben.","es eine Kirchensteuer gibt, die an die Einkommen- und Lohnsteuer geknüpft ist."
Was ist in Deutschland ein Brauch zu Ostern?,Kürbisse vor die Tür stellen,einen Tannenbaum schmücken,Eier bemalen,Raketen in die Luft schießen,"Jeder kann glauben, was er möchte."
Pfingsten ist ein ...,christlicher Feiertag.,deutscher Gedenktag.,internationaler Trauertag.,bayerischer Brauch.,Eier bemalen
Welche Religion hat die europäische und deutsche Kultur geprägt?,der Hinduismus,das Christentum,der Buddhismus,der Islam,christlicher Feiertag.
In Deutschland nennt man die letzten vier Wochen vor Weihnachten ...,den Buß- und Bettag.,das Erntedankfest.,die Adventszeit.,Allerheiligen.,das Christentum
Aus welchem Land sind die meisten Migrantinnen und Migranten nach Deutschland gekommen?,Italien,Polen,Marokko,Türkei,die Adventszeit.
In der DDR lebten vor allem Migrantinnen und Migranten aus ...,"Vietnam, Polen, Mosambik.","Frankreich, Rumänien, Somalia.","Chile, Ungarn, Simbabwe.","Nordkorea, Mexiko, Ägypten",Türkei
"Ausländische Arbeitnehmerinnen und Arbeitnehmer, die in den 50er und 60er Jahren von der Bundesrepublik Deutschland angeworben wurden, nannte man ...",Schwarzarbeiterinnen/Schwarzarbeiter.,Gastarbeiterinnen/Gastarbeiter.,Zeitarbeiterinnen/Zeitarbeiter.,Schichtarbeiterinnen/Schichtarbeiter.,"Vietnam, Polen, Mosambik."
Aus welchem Land kamen die ersten Gastarbeiterinnen und Gastarbeiter nach Bundesrepublik Deutschland?,Italien,Spanien,Portugal,Türkei,Gastarbeiterinnen/Gastarbeiter.
,,,,,Italien
Welches Wappen gehört zum Bundesland Baden-Württemberg?,Bild 1,Bild 2,Bild 3,Bild 4,kein
Welches ist ein Landkreis in Baden-Württemberg?,Mecklenburgische Seenplatte,Neckar-Odenwald-Kreis,Nordfriesland,Altötting,Neckar-Odenwald-Kreis
Für wie viele Jahre wird der Landtag in Baden-Württemberg gewählt?,3,4,5,6,5
Ab welchem Alter darf man in Baden-Württemberg bei Kommunalwahlen wählen?,14,16,18,20,16
Welche Farben hat die Landesflagge von Baden-Württemberg?,blau-weiß-rot,schwarz-gold,weiß-blau,grün-weiß-rot,schwarz-gold
Wo können Sie sich in Baden-Württemberg über politische Themen informieren?,beim Ordnungsamt der Gemeinde,bei der Verbraucherzentrale,bei der Landeszentrale für politische Bildung,bei den Kirchen,bei der Landeszentrale für politische Bildung
Die Landeshauptstadt von Baden-Württemberg heißt …,Heidelberg.,Stuttgart.,Karlsruhe.,Mannheim.,Stuttgart.
Welches Bundesland ist Baden-Württemberg?,1,2,3,4,2
Wie nennt man die Regierungschefin/den Regierungschef in Baden-Württemberg?,Erste Ministerin/Erster Minister,Premierministerin/Premierminister,Bürgermeisterin/Bürgermeister,Ministerpräsidentin/Ministerpräsident,Ministerpräsidentin/Ministerpräsident
Welche Ministerin/welchen Minister hat Baden-Württemberg nicht?,Finanzministerin/Finanzminister,Justizministerin/Justizminister,Innenministerin/Innenminister,Außenministerin/Außenminister,Außenministerin/Außenminister
